file_name,n_of_beat_frames,n_of_frames,rate
train1,2279,17240,0.132193
train2,1844,17240,0.106961
train3,2332,17240,0.135267
train4,1175,17240,0.068155
train5,1585,17240,0.091937
train6,1313,17240,0.076160
train7,1109,17240,0.064327
train8,2373,17240,0.137645
train9,1945,17240,0.112819
train10,1458,17240,0.084571
train11,2174,17240,0.126102
train12,1163,17240,0.067459
train13,2932,17240,0.170070
train14,2342,17240,0.135847
train15,1730,17240,0.100348
train16,1330,17280,0.076968
train17,1087,17240,0.063051
train18,1199,17240,0.069548
train19,3346,17240,0.194084
train20,4151,17240,0.240777
